Item,Category,ItemPrefix,Element,Definition
Proportion of Veterans with Possible Mental Illness Seen in Residential Mental Health,MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen ,Residential Mental Health,"Proportion of veterans with a possible mental illness seen in a residential mental health setting (i.e., discharged from a residential bed or in a residential bed at the end of the year). A possible mental illness refers to veterans who used VHA Services who had any type of mental illness reported in any diagnostic field."
Psychological Testing or Other Mental Health Services - Encounters,Psychological Testing,Psychological Testing or Other Mental Health Services,Encounters,The total number of outpatient mental health encounters including psychological testing.
Psychological Testing or Other Mental Health Services - Uniques,Psychological Testing,Psychological Testing or Other Mental Health Services,Uniques,The total number of unique veterans who received any mental health service including psychological testing.
Service Users Who Received MH Services ,Mental Health Workload,NA,Service Users Who Received MH Services ,None provided in source data dictionary. 
Total Non-Mental Health Services Rendered to All VHA Users - Community Living Center Stays,Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users,Community Living Center Stays,The total number of non-mental health Community Living Center Stays rendered to all VHA service users. The count of stays includes beds occuppied at the end of the fiscal year.
Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users,Inpatient Stays,The total number of non-mental health inpatient stays rendered to all VHA service users. The count of stays includes beds occuppied at the end of the fiscal year.
Total Non-Mental Health Services Rendered to All VHA Users - Outpatient Encounters,Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users,Outpatient Encounters,The total number of non-mental health outpatient encounters rendered to all VHA service users.
Total Service Users,Prevalence of Mental Illness,NA,Total Service Users,Total number of veterans with at least one encounter or bed day in VHA.
Unique Veterans Seen In Inpatient Mental Health,Mental Health Workload,NA,Unique Veterans Seen In Inpatient Mental Health,The unduplicated number of unique veterans with at least one bed day in a bed section defined as a mental health inpatient bed section for that year. These bed sections exclude domiciliary and residential bed sections.
Unique Veterans Seen In Outpatient Mental Health,Mental Health Workload,NA,Unique Veterans Seen In Outpatient Mental Health,The unduplicated number of unique veterans with at least one encounter in a stop code defined as a mental health service in that year.
Unique Veterans Seen In Residential Mental Health,Mental Health Workload,NA,Unique Veterans Seen In Residential Mental Health,The unduplicated number of unique veterans with at least one bed day in a bed section defined as a mental health residential bed section for that year. These bed sections exclude inpatient bed sections.
